2026-02-20 14:15:55 DEBUG IntegratorServiceImpl:49 - Adding Integrator [org.hibernate.boot.beanvalidation.BeanValidationIntegrator].
2026-02-20 14:15:55 DEBUG IntegratorServiceImpl:49 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2026-02-20 14:15:55 INFO  Version:45 - HHH000412: Hibernate ORM core version 7.0.0.Final
2026-02-20 14:15:55 DEBUG Environment:162 - HHH000206: 'hibernate.properties' not found
2026-02-20 14:15:55 DEBUG LocalXmlResourceResolver:87 - Checking public/system identifiers `-//Hibernate/Hibernate Configuration DTD 3.0//EN`/`http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd` as DTD references
2026-02-20 14:15:55 DEBUG JaxbCfgProcessor:113 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2026-02-20 14:15:56 DEBUG Configuration:1104 - Building session factory using internal StandardServiceRegistryBuilder
2026-02-20 14:15:56 DEBUG Configuration:1005 - Building session factory using provided StandardServiceRegistry
2026-02-20 14:15:56 DEBUG RegionFactoryInitiator:117 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2026-02-20 14:15:56 DEBUG RegionFactoryInitiator:47 - HHH000026: Second-level cache disabled
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@5aabbb29
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@5aabbb29
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@5aabbb29
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@72c927f1
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@72c927f1
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration true_false -> org.hibernate.type.BasicTypeReference@1ac85b0c
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@1ac85b0c
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@3dd69f5a
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@3dd69f5a
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration byte -> org.hibernate.type.BasicTypeReference@3aa3193a
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration byte -> org.hibernate.type.BasicTypeReference@3aa3193a
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@3aa3193a
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration binary -> org.hibernate.type.BasicTypeReference@1ee4730
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@1ee4730
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration [B -> org.hibernate.type.BasicTypeReference@1ee4730
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@59a67c3a
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@59a67c3a
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration image -> org.hibernate.type.BasicTypeReference@5003041b
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration blob -> org.hibernate.type.BasicTypeReference@724bade8
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration java.sql.Blob -> org.hibernate.type.BasicTypeReference@724bade8
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration materialized_blob -> org.hibernate.type.BasicTypeReference@16fb356
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration materialized_blob_wrapper -> org.hibernate.type.BasicTypeReference@6bc248ed
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration short -> org.hibernate.type.BasicTypeReference@23a9ba52
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration short -> org.hibernate.type.BasicTypeReference@23a9ba52
2026-02-20 14:15:56 DEBUG BasicTypeRegistry:423 - Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@23a9ba52
